releasedate,release,releaseyear,releasemonth,releaseday,releasehour,releaseminute,coveredyear,coveredperiod,freq
1999-03-17 10:00:00,Metropolitan Area Employment and Unemployment,1999,3,17,10,0,1950,1,0
1999-03-18 08:30:00,Consumer Price Index,1999,3,18,8,30,1950,1,0
1999-03-18 10:00:00,Real Earnings,1999,3,18,10,0,1950,1,0
1999-03-19 10:00:00,Regional and State Employment and Unemployment,1999,3,19,10,0,1950,1,0
1999-03-31 10:00:00,Metropolitan Area Employment and Unemployment,1999,3,31,10,0,1950,1,0
1999-04-02 08:30:00,Employment Situation,1999,4,2,8,30,1999,3,12
1999-04-02 08:30:00,The Employment Situation,1999,4,2,8,30,1950,1,0
1999-04-08 10:00:00,U.S. Import and Export Price Indexes,1999,4,8,10,0,1950,1,0
1999-04-09 08:30:00,Producer Price Indexes,1999,4,9,8,30,1950,1,0
1999-04-13 08:30:00,Consumer Price Index,1999,4,13,8,30,1950,1,0
1999-04-13 10:00:00,Real Earnings,1999,4,13,10,0,1950,1,0
1999-04-16 10:00:00,Regional and State Employment and Unemployment,1999,4,16,10,0,1950,1,0
1999-04-28 10:00:00,Metropolitan Area Employment and Unemployment,1999,4,28,10,0,1950,1,0
1999-04-29 08:30:00,Employment Cost Index,1999,4,29,8,30,1950,1,0
1999-05-07 08:30:00,Employment Situation,1999,5,7,8,30,1999,4,12
1999-05-07 08:30:00,The Employment Situation,1999,5,7,8,30,1950,1,0
1999-05-11 10:00:00,Productivity and Costs,1999,5,11,10,0,1950,1,0
1999-05-12 10:00:00,U.S. Import and Export Price Indexes,1999,5,12,10,0,1950,1,0
1999-05-13 08:30:00,Producer Price Indexes,1999,5,13,8,30,1950,1,0
1999-05-14 08:30:00,Consumer Price Index,1999,5,14,8,30,1950,1,0
1999-05-14 10:00:00,Real Earnings,1999,5,14,10,0,1950,1,0
1999-05-21 10:00:00,Regional and State Employment and Unemployment,1999,5,21,10,0,1950,1,0
1999-06-02 10:00:00,Metropolitan Area Employment and Unemployment,1999,6,2,10,0,1950,1,0
1999-06-04 08:30:00,Employment Situation,1999,6,4,8,30,1999,5,12
1999-06-04 08:30:00,The Employment Situation,1999,6,4,8,30,1950,1,0
1999-06-08 10:00:00,Productivity and Costs,1999,6,8,10,0,1950,1,0
1999-06-10 10:00:00,U.S. Import and Export Price Indexes,1999,6,10,10,0,1950,1,0
1999-06-11 08:30:00,Producer Price Indexes,1999,6,11,8,30,1950,1,0
1999-06-16 08:30:00,Consumer Price Index,1999,6,16,8,30,1950,1,0
1999-06-16 10:00:00,Real Earnings,1999,6,16,10,0,1950,1,0
1999-06-18 10:00:00,Regional and State Employment and Unemployment,1999,6,18,10,0,1950,1,0
1999-06-30 10:00:00,Metropolitan Area Employment and Unemployment,1999,6,30,10,0,1950,1,0
1999-07-02 08:30:00,Employment Situation,1999,7,2,8,30,1999,6,12
1999-07-02 08:30:00,The Employment Situation,1999,7,2,8,30,1950,1,0
1999-07-13 10:00:00,U.S. Import and Export Price Indexes,1999,7,13,10,0,1950,1,0
1999-07-14 08:30:00,Producer Price Indexes,1999,7,14,8,30,1950,1,0
1999-07-15 08:30:00,Consumer Price Index,1999,7,15,8,30,1950,1,0
1999-07-15 10:00:00,Real Earnings,1999,7,15,10,0,1950,1,0
1999-07-16 10:00:00,Regional and State Employment and Unemployment,1999,7,16,10,0,1950,1,0
1999-07-28 10:00:00,Metropolitan Area Employment and Unemployment,1999,7,28,10,0,1950,1,0
1999-07-29 08:30:00,Employment Cost Index,1999,7,29,8,30,1950,1,0
1999-08-05 10:00:00,Productivity and Costs,1999,8,5,10,0,1950,1,0
1999-08-06 08:30:00,Employment Situation,1999,8,6,8,30,1999,7,12
1999-08-06 08:30:00,The Employment Situation,1999,8,6,8,30,1950,1,0
1999-08-12 10:00:00,U.S. Import and Export Price Indexes,1999,8,12,10,0,1950,1,0
1999-08-13 08:30:00,Producer Price Indexes,1999,8,13,8,30,1950,1,0
1999-08-17 08:30:00,Consumer Price Index,1999,8,17,8,30,1950,1,0
1999-08-17 10:00:00,Real Earnings,1999,8,17,10,0,1950,1,0
1999-08-20 10:00:00,Regional and State Employment and Unemployment,1999,8,20,10,0,1950,1,0
1999-09-01 10:00:00,Metropolitan Area Employment and Unemployment,1999,9,1,10,0,1950,1,0
1999-09-02 10:00:00,Productivity and Costs,1999,9,2,10,0,1950,1,0
1999-09-03 08:30:00,Employment Situation,1999,9,3,8,30,1999,8,12
1999-09-03 08:30:00,The Employment Situation,1999,9,3,8,30,1950,1,0
1999-09-09 10:00:00,U.S. Import and Export Price Indexes,1999,9,9,10,0,1950,1,0
1999-09-10 08:30:00,Producer Price Indexes,1999,9,10,8,30,1950,1,0
1999-09-15 08:30:00,Consumer Price Index,1999,9,15,8,30,1950,1,0
1999-09-15 10:00:00,Real Earnings,1999,9,15,10,0,1950,1,0
1999-09-17 10:00:00,Regional and State Employment and Unemployment,1999,9,17,10,0,1950,1,0
1999-09-29 10:00:00,Metropolitan Area Employment and Unemployment,1999,9,29,10,0,1950,1,0
1999-10-08 08:30:00,Employment Situation,1999,10,8,8,30,1999,9,12
1999-10-08 08:30:00,The Employment Situation,1999,10,8,8,30,1950,1,0
1999-10-14 08:30:00,U.S. Import and Export Price Indexes,1999,10,14,8,30,1950,1,0
1999-10-15 08:30:00,Producer Price Indexes,1999,10,15,8,30,1950,1,0
1999-10-19 08:30:00,Consumer Price Index,1999,10,19,8,30,1950,1,0
1999-10-19 08:30:00,Real Earnings,1999,10,19,8,30,1950,1,0
1999-10-22 10:00:00,Regional and State Employment and Unemployment,1999,10,22,10,0,1950,1,0
1999-10-28 08:30:00,Employment Cost Index,1999,10,28,8,30,1950,1,0
1999-11-03 10:00:00,Metropolitan Area Employment and Unemployment,1999,11,3,10,0,1950,1,0
1999-11-05 08:30:00,Employment Situation,1999,11,5,8,30,1999,10,12
1999-11-05 08:30:00,The Employment Situation,1999,11,5,8,30,1950,1,0
1999-11-09 08:30:00,U.S. Import and Export Price Indexes,1999,11,9,8,30,1950,1,0
1999-11-10 08:30:00,Producer Price Indexes,1999,11,10,8,30,1950,1,0
1999-11-12 08:30:00,Productivity and Costs,1999,11,12,8,30,1950,1,0
1999-11-17 08:30:00,Consumer Price Index,1999,11,17,8,30,1950,1,0
1999-11-17 08:30:00,Real Earnings,1999,11,17,8,30,1950,1,0
1999-11-23 10:00:00,Regional and State Employment and Unemployment,1999,11,23,10,0,1950,1,0
1999-12-01 10:00:00,Metropolitan Area Employment and Unemployment,1999,12,1,10,0,1950,1,0
1999-12-03 08:30:00,Employment Situation,1999,12,3,8,30,1999,11,12
1999-12-03 08:30:00,The Employment Situation,1999,12,3,8,30,1950,1,0
1999-12-07 08:30:00,Productivity and Costs,1999,12,7,8,30,1950,1,0
1999-12-09 08:30:00,U.S. Import and Export Price Indexes,1999,12,9,8,30,1950,1,0
1999-12-10 08:30:00,Producer Price Indexes,1999,12,10,8,30,1950,1,0
1999-12-14 08:30:00,Consumer Price Index,1999,12,14,8,30,1950,1,0
1999-12-14 08:30:00,Real Earnings,1999,12,14,8,30,1950,1,0
1999-12-17 10:00:00,Regional and State Employment and Unemployment,1999,12,17,10,0,1950,1,0
1999-12-29 10:00:00,Metropolitan Area Employment and Unemployment,1999,12,29,10,0,1950,1,0
2000-01-03 10:00:00,Metropolitan Area Employment and Unemployment,2000,1,3,10,0,1950,1,0
2000-01-05 08:30:00,The Employment Situation,2000,1,5,8,30,1950,1,0
2000-01-07 08:30:00,The Employment Situation,2000,1,7,8,30,1950,1,0
2000-01-11 08:30:00,U.S. Import and Export Price Indexes,2000,1,11,8,30,1950,1,0
2000-01-12 08:30:00,Producer Price Indexes,2000,1,12,8,30,1950,1,0
2000-01-12 08:30:00,U.S. Import and Export Price Indexes,2000,1,12,8,30,1950,1,0
2000-01-13 08:30:00,Producer Price Indexes,2000,1,13,8,30,1950,1,0
2000-01-14 08:30:00,Consumer Price Index,2000,1,14,8,30,1950,1,0
2000-01-14 08:30:00,Real Earnings,2000,1,14,8,30,1950,1,0
2000-01-17 08:30:00,Consumer Price Index,2000,1,17,8,30,1950,1,0
2000-01-17 08:30:00,Real Earnings,2000,1,17,8,30,1950,1,0
2000-01-19 08:30:00,Employment Situation,2000,1,19,8,30,1999,12,12
2000-01-19 10:00:00,Regional and State Employment and Unemployment,2000,1,19,10,0,1950,1,0
2000-01-21 10:00:00,Regional and State Employment and Unemployment,2000,1,21,10,0,1950,1,0
2000-01-25 08:30:00,Employment Cost Index,2000,1,25,8,30,1950,1,0
2000-01-27 08:30:00,Employment Cost Index,2000,1,27,8,30,1950,1,0
2000-01-31 10:00:00,Metropolitan Area Employment and Unemployment,2000,1,31,10,0,1950,1,0
2000-02-02 10:00:00,Metropolitan Area Employment and Unemployment,2000,2,2,10,0,1950,1,0
2000-02-04 08:30:00,Employment Situation,2000,2,4,8,30,2000,1,12
2000-02-04 08:30:00,The Employment Situation,2000,2,4,8,30,1950,1,0
2000-02-08 08:30:00,Productivity and Costs,2000,2,8,8,30,1950,1,0
2000-02-16 08:30:00,U.S. Import and Export Price Indexes,2000,2,16,8,30,1950,1,0
2000-02-17 08:30:00,Producer Price Indexes,2000,2,17,8,30,1950,1,0
2000-02-18 08:30:00,Consumer Price Indexes,2000,2,18,8,30,1950,1,0
2000-02-18 08:30:00,Real Earnings,2000,2,18,8,30,1950,1,0
2000-03-02 10:00:00,Regional and State Employment and Unemployment,2000,3,2,10,0,1950,1,0
2000-03-03 08:30:00,Employment Situation,2000,3,3,8,30,2000,2,12
2000-03-03 08:30:00,The Employment Situation,2000,3,3,8,30,1950,1,0
2000-03-07 08:30:00,Productivity and Costs,2000,3,7,8,30,1950,1,0
2000-03-14 10:00:00,Metropolitan Area Employment and Unemployment,2000,3,14,10,0,1950,1,0
2000-03-15 08:30:00,U.S. Import and Export Price Indexes,2000,3,15,8,30,1950,1,0
2000-03-16 08:30:00,Producer Price Indexes,2000,3,16,8,30,1950,1,0
2000-03-17 08:30:00,Consumer Price Index,2000,3,17,8,30,1950,1,0
2000-03-17 08:30:00,Real Earnings,2000,3,17,8,30,1950,1,0
2000-03-28 10:00:00,Regional and State Employment and Unemployment,2000,3,28,10,0,1950,1,0
2000-04-04 10:00:00,Metropolitan Area Employment and Unemployment,2000,4,4,10,0,1950,1,0
2000-04-07 08:30:00,Employment Situation,2000,4,7,8,30,2000,3,12
2000-04-07 08:30:00,The Employment Situation,2000,4,7,8,30,1950,1,0
2000-04-12 08:30:00,U.S. Import and Export Price Indexes,2000,4,12,8,30,1950,1,0
2000-04-13 08:30:00,Producer Price Indexes,2000,4,13,8,30,1950,1,0
2000-04-14 08:30:00,Consumer Price Index,2000,4,14,8,30,1950,1,0
2000-04-14 08:30:00,Real Earnings,2000,4,14,8,30,1950,1,0
2000-04-21 10:00:00,Regional and State Employment and Unemployment,2000,4,21,10,0,1950,1,0
2000-04-27 08:30:00,Employment Cost Index,2000,4,27,8,30,1950,1,0
2000-05-03 10:00:00,Metropolitan Area Employment and Unemployment,2000,5,3,10,0,1950,1,0
2000-05-04 08:30:00,Productivity and Costs,2000,5,4,8,30,1950,1,0
2000-05-05 08:30:00,Employment Situation,2000,5,5,8,30,2000,4,12
2000-05-05 08:30:00,The Employment Situation,2000,5,5,8,30,1950,1,0
2000-05-11 08:30:00,U.S. Import and Export Price Indexes,2000,5,11,8,30,1950,1,0
2000-05-12 08:30:00,Producer Price Indexes,2000,5,12,8,30,1950,1,0
2000-05-16 08:30:00,Consumer Price Index,2000,5,16,8,30,1950,1,0
2000-05-16 08:30:00,Real Earnings,2000,5,16,8,30,1950,1,0
2000-05-19 10:00:00,Regional and State Employment and Unemployment,2000,5,19,10,0,1950,1,0
2000-05-31 10:00:00,Metropolitan Area Employment and Unemployment,2000,5,31,10,0,1950,1,0
2000-06-02 08:30:00,Employment Situation,2000,6,2,8,30,2000,5,12
2000-06-02 08:30:00,The Employment Situation,2000,6,2,8,30,1950,1,0
2000-06-06 08:30:00,Productivity and Costs,2000,6,6,8,30,1950,1,0
2000-06-08 08:30:00,U.S. Import and Export Price Indexes,2000,6,8,8,30,1950,1,0
2000-06-09 08:30:00,Producer Price Indexes,2000,6,9,8,30,1950,1,0
2000-06-14 08:30:00,Consumer Price Index,2000,6,14,8,30,1950,1,0
2000-06-14 08:30:00,Real Earnings,2000,6,14,8,30,1950,1,0
2000-06-16 10:00:00,Regional and State Employment and Unemployment,2000,6,16,10,0,1950,1,0
2000-06-28 10:00:00,Metropolitan Area Employment and Unemployment,2000,6,28,10,0,1950,1,0
2000-07-07 08:30:00,Employment Situation,2000,7,7,8,30,2000,6,12
2000-07-07 08:30:00,The Employment Situation,2000,7,7,8,30,1950,1,0
2000-07-13 08:30:00,U.S. Import and Export Price Indexes,2000,7,13,8,30,1950,1,0
2000-07-14 08:30:00,Producer Price Indexes,2000,7,14,8,30,1950,1,0
2000-07-18 08:30:00,Consumer Price Index,2000,7,18,8,30,1950,1,0
2000-07-18 08:30:00,Real Earnings,2000,7,18,8,30,1950,1,0
2000-07-21 10:00:00,Regional and State Employment and Unemployment,2000,7,21,10,0,1950,1,0
2000-07-27 08:30:00,Employment Cost Index,2000,7,27,8,30,1950,1,0
2000-08-02 10:00:00,Metropolitan Area Employment and Unemployment,2000,8,2,10,0,1950,1,0
2000-08-04 08:30:00,Employment Situation,2000,8,4,8,30,2000,7,12
2000-08-04 08:30:00,The Employment Situation,2000,8,4,8,30,1950,1,0
2000-08-08 08:30:00,Productivity and Costs,2000,8,8,8,30,1950,1,0
2000-08-10 08:30:00,U.S. Import and Export Price Indexes,2000,8,10,8,30,1950,1,0
2000-08-11 08:30:00,Producer Price Indexes,2000,8,11,8,30,1950,1,0
2000-08-16 08:30:00,Consumer Price Index,2000,8,16,8,30,1950,1,0
2000-08-16 08:30:00,Real Earnings,2000,8,16,8,30,1950,1,0
2000-08-18 10:00:00,Regional and State Employment and Unemployment,2000,8,18,10,0,1950,1,0
2000-08-30 10:00:00,Metropolitan Area Employment and Unemployment,2000,8,30,10,0,1950,1,0
2000-09-01 08:30:00,Employment Situation,2000,9,1,8,30,2000,8,12
2000-09-01 08:30:00,The Employment Situation,2000,9,1,8,30,1950,1,0
2000-09-06 08:30:00,Productivity and Costs,2000,9,6,8,30,1950,1,0
2000-09-13 08:30:00,U.S. Import and Export Price Indexes,2000,9,13,8,30,1950,1,0
2000-09-14 08:30:00,Producer Price Indexes,2000,9,14,8,30,1950,1,0
2000-09-15 08:30:00,Consumer Price Index,2000,9,15,8,30,1950,1,0
2000-09-15 08:30:00,Real Earnings,2000,9,15,8,30,1950,1,0
2000-09-19 10:00:00,Regional and State Employment and Unemployment,2000,9,19,10,0,1950,1,0
2000-09-27 10:00:00,Metropolitan Area Employment and Unemployment,2000,9,27,10,0,1950,1,0
2000-10-06 08:30:00,Employment Situation,2000,10,6,8,30,2000,9,12
2000-10-06 08:30:00,The Employment Situation,2000,10,6,8,30,1950,1,0
2000-10-12 08:30:00,U.S. Import and Export Price Indexes,2000,10,12,8,30,1950,1,0
2000-10-13 08:30:00,Producer Price Indexes,2000,10,13,8,30,1950,1,0
2000-10-18 08:30:00,Consumer Price Index,2000,10,18,8,30,1950,1,0
2000-10-18 08:30:00,Real Earnings,2000,10,18,8,30,1950,1,0
2000-10-20 10:00:00,Regional and State Employment and Unemployment,2000,10,20,10,0,1950,1,0
2000-10-26 08:30:00,Employment Cost Index,2000,10,26,8,30,1950,1,0
2000-11-01 10:00:00,Metropolitan Area Employment and Unemployment,2000,11,1,10,0,1950,1,0
2000-11-02 08:30:00,Productivity and Costs,2000,11,2,8,30,1950,1,0
2000-11-03 08:30:00,Employment Situation,2000,11,3,8,30,2000,10,12
2000-11-03 08:30:00,The Employment Situation,2000,11,3,8,30,1950,1,0
2000-11-08 08:30:00,U.S. Import and Export Price Indexes,2000,11,8,8,30,1950,1,0
2000-11-09 08:30:00,Producer Price Indexes,2000,11,9,8,30,1950,1,0
2000-11-16 08:30:00,Consumer Price Index,2000,11,16,8,30,1950,1,0
2000-11-16 08:30:00,Real Earnings,2000,11,16,8,30,1950,1,0
2000-11-21 10:00:00,Regional and State Employment and Unemployment,2000,11,21,10,0,1950,1,0
2000-11-29 10:00:00,Metropolitan Area Employment and Unemployment,2000,11,29,10,0,1950,1,0
2000-12-06 08:30:00,Productivity and Costs,2000,12,6,8,30,1950,1,0
2000-12-08 08:30:00,Employment Situation,2000,12,8,8,30,2000,11,12
2000-12-08 08:30:00,The Employment Situation,2000,12,8,8,30,1950,1,0
2000-12-13 08:30:00,U.S. Import and Export Price Indexes,2000,12,13,8,30,1950,1,0
2000-12-14 08:30:00,Producer Price Indexes,2000,12,14,8,30,1950,1,0
2000-12-15 08:30:00,Consumer Price Index,2000,12,15,8,30,1950,1,0
2000-12-15 08:30:00,Real Earnings,2000,12,15,8,30,1950,1,0
2000-12-22 10:00:00,Regional and State Employment and Unemployment,2000,12,22,10,0,1950,1,0
2001-01-03 10:00:00,Metropolitan Area Employment and Unemployment,2001,1,3,10,0,1950,1,0
2001-01-04 08:30:00,The Employment Situation,2001,1,4,8,30,1950,1,0
2001-01-05 08:30:00,Employment Situation,2001,1,5,8,30,2000,12,12
2001-01-05 08:30:00,The Employment Situation,2001,1,5,8,30,1950,1,0
2001-01-10 08:30:00,U.S. Import and Export Price Indexes,2001,1,10,8,30,1950,1,0
2001-01-11 08:30:00,Producer Price Indexes,2001,1,11,8,30,1950,1,0
2001-01-11 08:30:00,U.S. Import and Export Price Indexes,2001,1,11,8,30,1950,1,0
2001-01-12 08:30:00,Producer Price Indexes,2001,1,12,8,30,1950,1,0
2001-01-16 08:30:00,Consumer Price Index,2001,1,16,8,30,1950,1,0
2001-01-16 08:30:00,Real Earnings,2001,1,16,8,30,1950,1,0
2001-01-17 08:30:00,Consumer Price Index,2001,1,17,8,30,1950,1,0
2001-01-17 08:30:00,Real Earnings,2001,1,17,8,30,1950,1,0
2001-01-18 10:00:00,Regional and State Employment and Unemployment,2001,1,18,10,0,1950,1,0
2001-01-19 10:00:00,Regional and State Employment and Unemployment,2001,1,19,10,0,1950,1,0
2001-01-25 08:30:00,Employment Cost Index,2001,1,25,8,30,1950,1,0
2001-01-30 10:00:00,Metropolitan Area Employment and Unemployment,2001,1,30,10,0,1950,1,0
2001-01-31 08:30:00,Employment Cost Index,2001,1,31,8,30,1950,1,0
2001-01-31 10:00:00,Metropolitan Area Employment and Unemployment,2001,1,31,10,0,1950,1,0
2001-02-02 08:30:00,Employment Situation,2001,2,2,8,30,2001,1,12
2001-02-02 08:30:00,The Employment Situation,2001,2,2,8,30,1950,1,0
2001-02-07 08:30:00,Productivity and Costs,2001,2,7,8,30,1950,1,0
2001-02-15 08:30:00,U.S. Import and Export Price Indexes,2001,2,15,8,30,1950,1,0
2001-02-16 08:30:00,Producer Price Indexes,2001,2,16,8,30,1950,1,0
2001-02-21 08:30:00,Consumer Price Indexes,2001,2,21,8,30,1950,1,0
2001-02-21 08:30:00,Real Earnings,2001,2,21,8,30,1950,1,0
2001-03-01 10:00:00,Regional and State Employment and Unemployment,2001,3,1,10,0,1950,1,0
2001-03-06 08:30:00,Productivity and Costs,2001,3,6,8,30,1950,1,0
2001-03-09 08:30:00,Employment Situation,2001,3,9,8,30,2001,2,12
2001-03-09 08:30:00,The Employment Situation,2001,3,9,8,30,1950,1,0
2001-03-14 10:00:00,Metropolitan Area Employment and Unemployment,2001,3,14,10,0,1950,1,0
2001-03-15 08:30:00,U.S. Import and Export Price Indexes,2001,3,15,8,30,1950,1,0
2001-03-16 08:30:00,Producer Price Indexes,2001,3,16,8,30,1950,1,0
2001-03-21 08:30:00,Consumer Price Index,2001,3,21,8,30,1950,1,0
2001-03-21 08:30:00,Real Earnings,2001,3,21,8,30,1950,1,0
2001-03-27 10:00:00,Regional and State Employment and Unemployment,2001,3,27,10,0,1950,1,0
2001-04-04 10:00:00,Metropolitan Area Employment and Unemployment,2001,4,4,10,0,1950,1,0
2001-04-06 08:30:00,Employment Situation,2001,4,6,8,30,2001,3,12
2001-04-06 08:30:00,The Employment Situation,2001,4,6,8,30,1950,1,0
2001-04-11 08:30:00,U.S. Import and Export Price Indexes,2001,4,11,8,30,1950,1,0
2001-04-12 08:30:00,Producer Price Indexes,2001,4,12,8,30,1950,1,0
2001-04-17 08:30:00,Consumer Price Index,2001,4,17,8,30,1950,1,0
2001-04-17 08:30:00,Real Earnings,2001,4,17,8,30,1950,1,0
2001-04-20 10:00:00,Regional and State Employment and Unemployment,2001,4,20,10,0,1950,1,0
2001-04-26 08:30:00,Employment Cost Index,2001,4,26,8,30,1950,1,0
2001-05-02 10:00:00,Metropolitan Area Employment and Unemployment,2001,5,2,10,0,1950,1,0
2001-05-04 08:30:00,Employment Situation,2001,5,4,8,30,2001,4,12
2001-05-04 08:30:00,The Employment Situation,2001,5,4,8,30,1950,1,0
